"org","package","version","repository","url","sha"
"Gilead-BioStats","gsm.core","1.2.1","https://github.com/Gilead-BioStats/gsm.core","https://github.com/Gilead-BioStats/gsm.core/archive/29a7884475b3b7ae88af5eff6afe4eefef9d93d0.tar.gz","29a7884475b3b7ae88af5eff6afe4eefef9d93d0"
"Gilead-BioStats","gsm.mapping","1.1.4","https://github.com/Gilead-BioStats/gsm.mapping","https://github.com/Gilead-BioStats/gsm.mapping/archive/ddcff453919eb96dbfe443dfb714b81e523013d0.tar.gz","ddcff453919eb96dbfe443dfb714b81e523013d0"
"Gilead-BioStats","gsm.kri","1.5.2","https://github.com/Gilead-BioStats/gsm.kri","https://github.com/Gilead-BioStats/gsm.kri/archive/bc6425e00ba31b6c8c33d35d2384143e1250745d.tar.gz","bc6425e00ba31b6c8c33d35d2384143e1250745d"
"Gilead-BioStats","gsm.reporting","1.1.5","https://github.com/Gilead-BioStats/gsm.reporting","https://github.com/Gilead-BioStats/gsm.reporting/archive/828ee8e66e8526bc1aff59b1fe55530b7649f45f.tar.gz","828ee8e66e8526bc1aff59b1fe55530b7649f45f"
